datapoint,label
"Now... when a woman has to go to the bathroom in the middle of the night, she doesn't give a shit if you haven't slept in four years. If she gets woken up out of her sleep, it's everybody's problem. They don't wake up and think, "" I have to pee. "" They wake up and go, "" Oh, my God!",yes
Is that you? It is you! Hi. Hi!,no
"But what can't be controlled is love. Who I fall in love with, who falls in love with me... Or if anyone falls in love with me.",no
"I'm right here. Dude, it's her. Dude.",no
"Who's watching these two kids. The babysitter's typical girl next door, just there, Going to do her homework, talk on the phone with her friends And starts getting this creepy phone calls.",no
"I let her down. I think justice has a way of finding people. Yeah, well, I've given up on justice.",no
Sorry. Just a little work around the house. Salt of the earth.,no
"Max! Max, where are you, man? Max?",no
Get up. Took my gun. And she took my razor.,no
Why? I just... I was trying to help you out. Roll it down.,no
Chloe! No! Make sure she does exactly what Chloe says!,no
"That when a woman is naked, you're like, "" Look at that beautiful woman, "" and when a man is naked, you're like, "" There was a crime. Something horrible happened over there, guys. "" It's an interesting time.",yes
"We can watch her from here. Yeah, as long as she stays outside. Do you want me to take over?",no
"Like this. "" They put her on trial and hanged her! "" "" But the vengeful witch cursed her accusers, seven of them in all, to die a horrible and gruesome death, and rise from their graves as the living dead! "" "" Their souls! "" "" Their souls, doomed to an eternity of damnation! "" Now, I want you to try that again, but with conviction. My reputation is at stake, here.",no
"Where are you? Relax, relax! Wait, hold on.",no
"Wow. Treat her right, or you'll be hearing from me. Be good for Katie.",no
Yea but that doesn't get rid of the baby. Well it will until you start to show. Plus-minus.,no
"You must still like her if you're carrying around her picture, wearing the ring. Yeah. Well, you know...",no
"Well, not off the top of my head. Well, has she, as far as you're aware, ever started her class with a prayer? MRS.",no
"I killed that last man she was with, Tom. He had it comin', too. You have been doggin' this girl your whole life.",yes
"First edition, signed. That wine stain? Left by Betty Friedan herself.",no
She looks normal. So what happened with not-so-funny guy? It didn't work out.,no
"Actually, he jumped at it. Says he can't wait for me to be someone else's problem. So do you think a big-city reporter and an ex-military grunt could...",no
Really? I could kiss you. Robin's last class is about to end.,no
"Finding Theresa if that is his name. The woman who abducted you think. I find it, and disappears.",no
"She can't be more than 19. She hasn't had time to get herself a past. Child, it's the age of Facebook.",no
"I'm not usually into political thrillers. Yeah, well' I think the parallels with Dante's Inferno are amazing, but...",no
"Grampa! What's up, buddy? Here.",no
Yeah? It's Ross. Bruce's state room is burning.,no
"Come here. Let's go upstairs. I mean, I know she's Lily's mother and of course I respect that.",no
"Lots of blood, but no bodies. No tracks? No. Just like Tompkins' place.",no
"It's not your fault. I should've seen it coming. Let me ask you this, when a woman says, "" it's not you, it's me.",no
"Nothing. How many times have we been through this'? We've been through this, Mom.",no
"I told her to practice when I'm there, and that you'd be surprised at what a good swimmer she's become. I can't believe she did that. It's Avery good thing Eric and I were there to hear her crying for help.",no
"No. She's, uh, she's not jewish, grandpa. At your age, I suppose it doesn't make that much difference, tateleh.",no
"Oh, alright! An answer! Emphatic at that!",no
"Would you join me for lunch? Uh, yeah. You have to forget about her.",no
"There's no sign of her since she left for work this morning. Thanks. Oh, okay.",no
"I hate you. That girl says she hate him. Oh, Lord, somebody gonna have to help me.",no
You can fold it or rip off Ellen's part if you don't wanna look at her. I just thought maybe you could... Remember me sometimes when you get wherever you're going.,no
Keys. Get up. Open this door.,no
What happened? She made bring you back. It may have been too much for her.,no
"George. Please. She loves you, loves you.",no
I'm free. Thank you. Thank you.,no
My guy looks like james cromwell. Here. You want to see her?,no
Advance and engage! Can you drive that truck? Yeah!,no
"We could shave our heads and go to new Mexico Mm, mm, mm, mm, mm? ? I've got rain on my shoes I am broken I am bruised I can't see where I am I'm so tired I can't stand but I I I believe give or take I don't care catch a break or a tear throw me out let me go and tell me I'll never know but I I I believe I don't know what to do am I her Am I you I may rage I may run it's not hard but it's fun and I am all over the place it's a dance it's a race I feel high I feel low there is one thing I kno-o-o-o-w I belie-e-e-ve I believe I believe, I believe I believe? ? I believe I believe",no
"It was hard for me to move here, too. And now it seems like you've been here forever. It took a while.",no
Are you kidding me? It would be an honor. What's the matter?,no
I know what this is costing you. That's what I go by. I've met a lot of crazy people in my life.,no
"Most days, he just shit his pants. Jackson's mother hung around for the disability and what was left of his savings. But she was out of the house a lot.",no
poisoned her children. She poisoned them. Why don't you take the rest of the day off?,no
I didn't draw that! It's Rupert's. I just feel the change has created a lot more stress for her than we originally thought.,no
"And it's hard to improve on what she did, but I think you've done it ; my compliments. Thank you. And , I'm very proud of you.",no
"The beans Beans? The special beans I let him go I didn't know he'd stolen my beans I was watching him crawl Back over the wall When bang, crash A lightning flash Well, that's another story Never mind, anyway At last, the big day came I made my claim "" Oh, don't take away the baby "" They shrieked and squeaked But I did, and I hid her Where she'll never be reached Your father cried",no
It's all about what she wants. Such a bitch. And a complete user.,yes
She lost faith in any possibility that we might be able to resolve this somehow. And she lost faith. Wow.,no
"I love big red. She never lets me down. Honey, no grown woman ever names her pick-up.",no
"Shit! You alright, man? I'm good, I'm good, I'm good, I'm good!",no
"And I go to night school. Whoop-de-fucking-do. Dude, do not let her get you down, all right?",no
"Oh, let me refresh your memory. She saw a picture of you and Russell on Facebook, and even though he's a doctor, she threatened to disown you if you continue to date a man whose skin was darker than a Frappuccino. Okay, I get it.",no
Okay. Why don't you calm down? I'm gonna need you to inspect her.,no
"Those kids will lead us to homecoming. Follow that cab. Hey, taxi.",no
"Oh, she was there. She was? Mhm.",no
She... She adores you. You made her really happy.,no
Shut up! Shut up. I'm cool.,no
"Not from my phone, you won't. They'll trace you. Come on, Ray, that's a little thick.",no
"Get back out there then. All right, rundown drills! Man on second, place between second and third.",no
"Hey! Oh, my God. Thank you so much for coming.",no
"Like a wild mustang? Actually, she was tamed by a girl no older than you. She's been with the family I work for ever since.",no
Go ahead. The Atromitos' rotation system's creating reverse pull. Danger.,no
"She needs a big strong guy like to keep her safe. / Open Hearth? Really? / Dude, what it is, works it out.",yes
You wear women's underwear? You're gay? I gave Chuck Leeson the Thieves Holiday demo.,no
Same goes for strippers. I am so sorry that he's referring to you in-in such a manner. Does it look like it bothers her?,no
Do they? No. They think Harwell killed Ken.,no
Rick will not forget. He will come around. I won't forget.,no
"Yeah? Okay. Well, right here is just a little basic transportation for the nine-to-fivers.",no
"allright, i'mgonnaneed some, uh, some seriously targeted research on this. silver, i think this would be a good opportunity for you to, you know, just to dig in and and and get your hands dirty, and, abrams, you're my you're my top research guy. i need you to take her out, you know, and and show her the ropes.",no
"You little shit. Yeah. My entire yard is filled with junk, but, you know, I mean, I haven't seen her in two days.",no
"I can't believe she still has this. "" Dear Jeff, every time you look at this little man, I want you to remember that you are a very special person... who has others that believe in you. Most importantly, always remember to believe in and love yourself.",no
"Patrick, hey! I'm so glad you could make it. You guys don't mind if I borrow him for a second, do you?",no
"He's gonna crush this team, right, Jonathan? But he's our closer. He's not closer, he's a starter.",no
Just don't get all panicky. We'll find her. It's been 24 hours.,no
"What? Claudia, she ran off with my best friend. I'm sorry to hear that.",no
And you brought Miley Cyrus. Of course. It's her sleigh.,no
"I know her well enough to know that she's a woman, and women like bad boys. Who are you to give me this advice? Are you bad?",yes
So Slavi made example of her. They do that. They burned one girl's face with battery acid.,no
"I'm all for the women empowerment thing, right, but don't let the after sex cuddle chemicals go to your head. You'd have to make me orgasm to release oxytocin, so don't worry, you're in the clear, buddy. Ouch, wow, you are ruthless.",yes
"I need to draw some blood, is that all right? Bye-bye. You're not going "" bye-bye "" just yet.",no
"Yeah. You know, maybe I started that. After the surgery, they left all kinds of crap inside me, like, you know.",no
You were supposed to stay at her house. It was just for a bit. Her sister had a car and we drove.,no
He's gone! What's wrong? What's wrong?,no
Are you gonna win? I hope so because it would kill me to see a mother separated from her guns. Hey...,no
"Oh, Joy, where are you? We lost Goofball Island. That means she can lose Friendship, and Hockey and Honesty and Family.",no
James... could you be more tender with her? Make sure she understands you really love her. You want me to convince her that I really love her.,no
There it goes. It's okay. Stay behind me.,no
No! No! Fuck! No! No! Fuck!,no
"Big curtain on the ceiling comes down every night for a little privacy. Men over there, women on this side. Yeah.",no
"Your camera feels like a gun to my face. Do I really need to drink this? Go on again from the beginning, and speak up.",no
"Looks like you can't hold your liquor, girly girl. That's what you get for trying to steal my boyfriend. Oh dying!",yes
"And I was... I was yelling, "" What happened to Maddie? "" "" What... What's wrong with her? """,no
"Take me someplace she loved. Do you, John, take Rebecca to be your lawfully wedded wife? I do.",no
I do. But doesn't that just prove how much I love her? I mean she hate loves you too you know.,no
"And then on the day of the event, you enter the Lancaster as a member of her staff. You will find the double, switch with him, then rip up the constitution in front of the whole world. Me?",no
"Any turbans? No guys with turbans or camels. Just soldiers, the president and me.",no
If we lose. If we lose. We're gonna win!,no
"You can stop studying now. Not after this morning, I can't. Yes you can.",no
"Hey, it's like the glowy thing. That glowy thing is an explosive Chitauri energy core. Whoa, you mean we've been carrying around a bomb?",no
I get it. You keep pretending that people are chasing after you so you keep your acting sharp. Wow.,no
"Please escort our guest to the kitchen before she draws blood. Sorry. Toni, hi.",no
"Yeah she's there, she's there. Oh my god, no one's here yet. Good, except for all the actresses, you know?",no
"The district attorney from all the TV commercials, and you never come up. How long you been her boss, how many years? Four.",no
"I've been great. You finally got tits, bitch! Bitch, the estrogen has been kicking in, the only thing it hasn't broken down was these fucking arms.",yes
"I didn't even know you were looking. I've been saving up for years. Pinching pennies, clipping coupons just waiting for the right time.",no
What tunnels'? The one's running underneath this neighborhood. That's how they get the booze in.,no
I taught myself how to keister. How to keister? Up the keister?,no
She is just fantastic. She tied us together an then she strapped a dual butterfly between us. Butterfly?,no
"And then she's dead. Are you kidding me, Pam? This is what you drive?",no
"Once we snare the Beast, we'll drag her out. You're insane. I'm not insane... I'm committed.",no
"I was totally looking forward to it, and chose me. Oh. Oh -Let's take her to the emergency room.",no
"She had to. For her own good, for her own happiness. She reset.",no
She said she believes. She believes up here. We just need to pray that she believes in here.,no
She catches me all the time. I think she likes it. Maybe it's just not meant to be.,no
"Let me hear you spit some. Let's hear it, Faith. All I got is Iggy.",no
"But there's a little wrinkle. Lucille is claiming that she wrote "" When I Live My Life Over Again. "" Oh, that's absurd. No court's gonna buy that.",no
"You're, you're big. God, that is crazy. I can't believe you still hang out with those guys.",no
"I'm an ass guy. Love ass. Not so much for tits, but ass.",yes
"You bet. Okay, see you in a minute. That was Natasha, she's on her way here with a lady cop.",yes
Thank you. All those cheeks. Truly a Gerber Baby.,no
"They ought a call you Pizzazz' cause you a pussy-ass nigga Nigga, Shante is the only woman you ever have, so you ain't even qualified to speak on women, nigga I know what I am qualified to speak on Oh shit, don't show it blow it, nigga. Tell me I'm the shit first I'll throw the shit out You the shit, you the shit! Oh okay.",yes
I'm just gonna put my head down right here. So I've been thinking. I've been thinking a lot about what you said.,no
Cool. Okay. All right.,no
"Seriously though, you want me to wait till she gets home? No, I want you to wait until I finish this cigarette. Remind me again why I hang out with you.'",no
She stands apart from the crowd She loves the sea and her people She makes her whole family proud Sometimes the world seems against you The journey may leave a scar But scars can heal and reveal just,no
"Keep it going, keep it going, keep it going! Got a good team here, coach. Got a good team.",no
Yo! I don't... I just have our home number I don't her cell number.,no
"Question 2. As both an artist and an aficionado of the cinema, do you prefer your popcorn with or without butter-flavored topping? Mr. Truman, exactly which, uh, publication do you represent?",no
And they believe that men and women are different and that true equality lies in that difference. We strive for male/female polarity and to regain our primal power as goddesses. We need to teach men how to love us using ways they can understand.,no
"You don't want controversy. Don't pretend like you know controversy. You wouldn't know controversy if it pulled up to a middle school, showed you its penis and make you take a blood job.",yes
No. For us. And it's a race.,no
Complete privacy and gives traffic the finger. Named her Bunny. We think she had the capacity to feel so we jettisoned her emotion nodules a few ticks back.,no
What is wrong with you? Jesus Christ! Why did you go and lock me in a truck full of dead bodies for?,no
"The most reliable Radio in the United States. Ok. While we await the news of the world, esta present musical selection.",no
"But then her father suddenly dies, and the pre-arrangement became void. Which is great, because by that point, Lucy's totally in love with Charlie. And then Sir Lyons, think Paul.",no
It couldn't possibly be worse than the episode we just had. Blunt her emotions. It'll keep her calm.,no
"Everybody wants him, he's a busy man. And you are a gifted young woman with a wonderful future. God forbid, in a town like this.",no
"Christian Snyder said you told him, and you were gonna show him. Okay, are you her boyfriend or something, or... Where is it?",no
"He was after her. She's coming with us. No, we can handle this.",no
"Now, just hear me out before you say anything, because this is not something that I sought out, but it is... something that I think that we should consider. Just tell her what's in your heart. She's stood behind your decisions in the past, hasn't she?",no
"What... what does a woman's vagina look like? "" Right? He says this to me. I didn't know what to fuckin' say, man, I was like... "" I don't know. "" I mean...",no
"I can get you a couple hundred dollars for your time. What you looking for, professor Jack? That, bazemint, is precisely what I hope you can help me find out.",no
"Who do they possibly have that can challenge ? For my sake, please don't go. Please don't die.",no
"my minions... minioning now shut up what the shit crapped all these dorks in my store? we're double booked sorry I can't game I guess we're not gaming the streak continues I can grab us a table at the AFK we can still have waffles I've earned waffles, waffles of shame that would be lovely I warned you you sell card games and they'll come those mouth breathing card floppers in one's and twos at first and then more would follow and now, they've nested! and taken over my precious table space is this what you wanted, Leo?",no
"Shh. Man'. Apparently long-time church member Marla Gifford had some sort of a disagreement with Minister Case, at least that's what we're hearing from other church members. That's when she showed up at the First Baptist Church with a large hunting knife.",no
"No! I want $25,000 in cash. $25,000?",no
"He took control over the arms in Serbia. Yeah. And you control all the weapons, you have all the friends in the world.",no
You're not insane. I know you're just scared. Oh.,no
"Yeah, I heard. Thanks. For what?",no
Nothing. Base. What's wrong with her bot?,no
"Why? Did you sleep with her, I mean, because you already knew that Adam was cheating with Jasmine? Did you use that to your advantage?",no
"Wait here. She said she'll make sure Mom gets it. Thanks, Stanley.",no
"Yeah! Goad luck, Brian. Oh, came an.",no
I think it's better if we leave her for now. Did you tell the kids? They don't like it.,no
Why weren't you at work? None of your business. I'm your husband.,no
"Hit her. She's smoking' up. You gonna bring this bitch here, and now you smoking this shit!",yes
Regret?! I can't even tell you how much I regret that I ever even met her! And you why are you always on their side?,no
"And here I am, pregnant, and I didn't plan for this. So it made me wonder that maybe this is a sign. Maybe I was supposed to get pregnant, and she's meant to have the baby.",no
"I'll be down in five. 10-4. Okay, men. We're going to move out.",no
"Her energy's down, but now that you're here. I'm coming to you. Hey.",no
Let's go. Come on. Oh shit.,no
She doesn't have to like it. You're gonna help her meet her mate. Who is meeting their mate?,no
She's still in that meeting. What meeting? Laura didn't know.,no
"Thank you. You mean like Amanda in The Glass Menagerie? Dominating her children, but with a deceptive softness.",no
"I'll check if she tweeted anything. It's Garcia, but school? Ben Wilder.",no
You better be. Yeah. That was a steer comb back there.,no
"But, yeah, I just got ta respect her, though, you know,' cause she's she's super cool, and, uh, she's a great friend, and so friendship it is. What kinda question is that? Of course Gunnar plans to win.",no
Go get her back. Come on. Isn't it time to start fighting for what you want?,no
"Five girls like that come in there, you've got to pay to play. That pussy ain't free. Don't you laugh at me.",yes
"Would you like me to pour you some tea? No, no, no, that's okay. I just... I need to get going.",no
Thank you. You like her? I do!,no
"They're hiding, turning a blind eye. These are scary times. And the Mutants, they're not like the usual street crooks.",no
"She's fine. There's no helping her right now. Rhonda, can you hear me?",no
There's nothing there. Is she bluffing us? What's below us?,no
"You fucking scared her, okay? God. You're being such a fucking weirdo.",no
"It takes a very special man to follow behind a woman. In these changing times, men and women, they're just don't play the same role. But a woman is still not supposed to take care of the man.",yes
"My wife was an incredibly kind and decent woman, and she could still be by my side. But thanks to the Alzheimer's, there's no mind left to salvage. And that's it?",no
"No, she's right, it does suck. Hayden! We talked about throwing paper!",no
Okay. I like this place. I'm glad.,no
"Ivan, you live yet? Avni, I asked you to destroy the traitor's head. Do I need to do your work?",no
"I... I told you, I haven't seen him in quite a while. Yeah, I know, it's just... I know that he was beating himself up and wanted to come talk to you about that last night he spent with dede.",no
We need to find the type of people who do bad things. What makes you think that I would know people like that? I figured your kind move in the same circles.,no
"The adult onset is usually the first time we have... are we gonna have to move again, mom? I don't know. I don't know what he's gonna say.",no
"Yeah, you just have to look past the gills on her neck. And you are...? He's one of Midtown Science's... -... best and brightest.",no
Lookin' for . She home? I got somethin' for her.,no
"So, after she... Yeah. We... We didn't have anybody either.",no
"Well, you hit her at the wrong angle or something. They figured it out. Well, maybe you should've done it then.",no
I remember when the doctor first told me. It was like I... The results show that you have you have leukemia.,no
Emma broke the news to Henry that she was planning to leave. No! No!,no
Get the fuck out. You'll see her in six months. Absence makes the dick grow harder.,no
"What's a responsibility? Yeah. Sometimes mommies want daddies to pitch in and help out and do things, and those are called responsibilities.",yes
"I mean, I knew she was a cheerleader, but I didn't know... She was the captain, dude. Yeah.",no
"Your heart? Uh, no. You should follow your heart.",no
"No sand, no mountains. Lord. You should see these chicks, man.",yes
"I have a confirmed spectral kill. We're a go. I say again, all units go.",no
Do you truly believe? Is it over or not? Yes.,no
"This is amazing. Oh, wait. I got ta go.",no
Go! Jeez. I don't know if I approve that. And nobody tells Amanda.,no
I wanted to see how I go the new one. Came again the father of Emmy. I will try to convince her to see him.,no
Impress her by being the hero or let the opposition annihilate himself. Yeah. You probably made the right choice.,yes
Or maybe they put where they should not. Perhaps. But I think it has something to do with drugs.,no
"No! Oh, woman down! Oh woman must leave and we save this dragon.",yes
"If we're nickel-size and the blender's empty, we go on our backs. Flat, like this. Enjoy that breeze.",no
"Nein. Tom, what's she saying? "" This is all of our fault.",no
"Why she killed herself, and if she was scared, what she was so scared of exactly. What do you think she was scared of? I don't know.",no
Whoo! That's my girl! Beca!,no
WONDER I have battled harpies with talons as hard as hydro-fangs. Your little scratches are almost soothing.,no
"Now Rebecca has just informed me underneath her graduation gown. Is that true, Rebecca? That is true, vance, and I dare you to get a close-up.",no
"Are you really going to call her? What? You run by my house everyday, too.",no
"Hey, hey, hey. What the hell are you doin', man? What's your problem?",no
"Oh, easy, Kimmy. First year of driving? Sorry.",no
"You're safe now. I thought it was over. Hey, they're here.",no
"If she gets up again, she can catch up with us, we can't move fast enough with your foot. I have to put her out of commission! Dorri, I don't care what No!",no
"I can't believe that. That was very smooth. Thank you, Vicky.",no
I can't believe that. His early stuff is only on vinyl. His first two albums are only vinyl.,no
"What did that little fruit tell him? Wasn't the Professor sworn to uphold the Hippocratic oath? And Clara, since when she and the melon became so chummy?",no
"Well, O is a big letter for women. Ovaries. Origami.",yes
"No, come on, I can hear, please. No, the thing up there is not her. No, it's not Lilly.",no
They would never choose a gringo. The girl... Who was she?,no
No!? For only The loss of you?,no
"She's such a smart girl. This article has really gotten to her. Stop it, you and I both know it's not just about that, okay?",no
"If we find this one, the only one left was the one Chloe had on her. Any word on the EMT? No. Just an e-mail address?",no
"Yeah, let her speak. I'm enjoying this. Go ahead, sweetie.",no
Indah. Do not. Release him.,no
Okay. He buzzed her in. Really?,no
"How can I miss the cigarette lips I am buried in the ashes I am buried in this Who, who Oh, so Come around Silence can't stop her Your love won't fade And I can't go on No, I can't go on, not a day Oh, oh, oh Oh, oh oh? Been nursing that drink?",no
"We can try to call your phone again when we get service. It's fine. I'll worry about it later, let's just go.",no
"So... And that isn't guaranteed, what she just said. It's something you would have to investigate.",no
"No, no, no, you can't do that! Why? Why?",no
"Sizwe. Gosh. Now that's a tough one, dog.",no
"You heard her, spread out! Check the truck! On it.",no
"Told her what? Look, when Zoe was a little girl, the apartment building she lived in caught on fire and her neighbors got trapped behind a door. She still has nightmares about it.",no
"Just leave him alone. She's not here, it's all clear. We never saw her come out.",no
"Okay, so you killed a woman. No, I just know, because I've seen movies and I've read books. About killing women?",yes
"He was throwing things at Haley. And when I saw him hurting her, I... I told him to stop, twice, and he kept on doing it. And I'm sorry.",no
I told her that you could help. Okay? No.,no
"You know... Don't go into her level, I mean... She's the one to blame, you don't wanna go down digging in the dirt with her, do you?",no
"No, I had a better idea. What you doing? Drifter, she's gonna take you down.",no
"Strangers. I've seen them in enough worlds to know not to mess with them. But if they're after your dad, then he's in worse trouble than I thought.",no
"Jessie, over here! Oh, it's been a while. I don't think she's coming back.",no
I'll call her later. She'll be glad you left. Do you have a girlfriend?,no
"Yeah, I met a girl. What? Is she fucking hot?",yes
"You don't look like that when you're, like, a normal person. And they listen to that music. And everybody knows they...",no
"I was really very unhappy at that time. What about me? Well, I don't really care about you.",no
"You have not performed the task entrusted to the court. Ran away, but they caught you. Now invent funny stories of torment and torture.",no
"See, it's not that hard. You just have to make that hard P sound. Yo, Scab!",no
What the fuck are you doing This little light of mine? Change is coming.,no
What's her name? We found dozens of pictures of women in your den. Hundreds!,no
"Dude, you better start moving, cause if you don't, I'm leaving. And you know what, fine. You guys just wait here with him, I'm done with this.",no
Making her question the group's beliefs and their Innate contradictions. W What are the chances of something like this working?,no
Everything's set. We move the machine to the launch site. Departure is 00 p.m.,no
"If they want to cure him, they better hire some black nurses. Better hire some black nurses,' cause he says he only fucks black women the month of February and June 10th. But he married Becky.",yes
"You felt that moving thing. Okay... Hi, Excuse me, is there anyone there?",no
"All right, whatever she wants from now on. Okay? All right, let's get ready for rehearsal, everybody.",no
"Come on, you bitch! Get off of her! Get off!",yes
That is very dangerous. You could put out an eye with that thing. Didn't your mother tell you never to play with knives?,yes
Karen. Hey. Hi.,no
"I think I'm gonna grant you a wish for Christmas. So what's your wish, Jeremy, for Christmas this year? I just want all the pain to stop, all the killing.",no
"Women don't fare too well when they try to be smart. Man, my papa always told me the good Lord never meant for women to have idle time on their handscause nothing but trouble. Well, you gals have caused your fair share here.",yes
Don't worry. I talked to them all. Uh-huh?,no
"Your client just implicated himself. At the very least, it's accessory to distribution which is a five-year minimum sentence plus the girl was under 21 years of age, which doubles it to 10 years. With her ID and your client's own admission, he's as good as convicted.",no
My mom was really into French stuff. Yeah? This was her book.,no
It's good. Tina! Tina.,no
Puddles made her more relatable. Wow. I love your parents...,no
"I'd like to thank the Academy of Sexy Women for honoring me with this award. I'm deeply moved to be recognized by this extraordinary group of women. You know, sometimes when I'd be laying out a line of bullshit I didn't think anybody was paying much attention.",no
"That's not a nun! I'm not going in there! Then stay here, I'll be back in two minutes.",no
"Basically? Was I some percentage not cool? No, she said you were cool, but, you know...",no
"This is a basic tactical situation. Clearly, the most advantageous strategy is in... Not now.",no
"Hey. It's me. Um -Look, I know we we have -I know we haven't talked, but I just want you to know I'm really -I'm thinking about you, and I-I'm-I'm -I know you didn't, you know -I know this isn't what we were planning, and I just want to talk to you.",no
"Of course he is. Wow, I nailed it with the Sunglasses Man. Right off the top of my head.",no
"I know. Makes me sad, too. I'm gonna miss her being right next door.",no
Ls this bothering you? Is this bothering you? This?,no
You know her friend Trev? He's awesome. He's been DJING there every Thursday.,no
"Nap philosophy? Yeah, naps throughout the day, like, help with productivity and stuff. Mmm.",no
"Uh, well, to be honest... I am deathly afraid of closed spaces. Ah, so you're claustrophobic.",no
"C'm on, Jacko, if you don't finish, we don't. You can do this, ok? What did mom always say? "" A bro is the best friend you're ever gonna have "", right?",no
"Man I really liked her. Hey. There's plenty of fish in the sea, bro.",no
But she wasn't. We couldn't understand what was happening. No one had answers.,no
"Why the heck are you two sitting over here all by yourselves? You're not gonna make me any great-grandbabies this way. It is a family gathering, Nana.",no
"Older man, young woman. Yeah, high heels, that's right. Dad's home!",no
Or do you want to do it the hard way? Huh? Huh?,no
"In the meantime, if she tries to call you -'s here. No, sweetie. She's in Canada.",no
"I mean, plenty of them get on, you know? Mhm. Um... But just there was something about her that you could just tell that she really truly believed this.",no
"There are two Kaiju signatures in the Breach, not three like I predicted! Hermann! I haven't exactly had a very good day, okay?",no
""" So now my wife's on my laptop and I'm over her shoulder acting interested in what's she's looking at. I could care less what she was looking at.",no
DON'TYOUREMEMBER? YOU SAW MY SHOW? DON'TYOUREMEMBER?,no
How many times have you seen that happen? Happens to all of them. Pick up... the knife all it takes is a cut across Katherine's shoulder.,no
"What's good? My dawg, what up? You good?",no
"Yeah, but what if we get less? I'm not going to go through this twice. Hey!",no
"Yeah, so Tori just... Yeah, she stayed over last night' cause she wasn't feeling well. Must be the paint fumes.",no
"Where'd you find this gringo, man? At the fucking Mumford Sons concert and shit? What is it?",no
"That's so tight. That's so sick. That's so tight, Doris.",no
So quit being grouchy grandpa. I will not. See?,no
"I know, I know, I got it. No, I'm serious. Focus.",no
